CIRCONSCRIPTION                    ;      ;    ;     ;Bellerose           ;Deschamps           ;Fournier            ;Gagnon              ;Jenkins             ;Loignon             ;Manolikakis         ;Pigeon              
Saint-Laurent                      ;S.É.  ;S.V.;É.I. ;Maxime              ;Fernand             ;Jean-Marc           ;Roger               ;Brian               ;Pierre Etienne      ;George              ;Marie Josèphe       
MUNICIPALITÉS                      ;      ;    ;     ;O.N.                ;P.M.L.Q.            ;P.L.Q./Q.L.P.       ;P.Q.                ;P.U.N.              ;P.V.Q./G.P.Q.       ;C.A.Q.-É.F.L.       ;Q.S.                
Montréal,v (p)                     ;039.00;170;281;1;0;105;2;0;2;13;1
TOTAL DU SECTEUR                   ;      ;    ;1656;4;0;711;34;1;6;68;18
Montréal,v (p)                     ;040.00;171;394;0;0;180;8;0;2;24;6
Montréal,v (p)                     ;040.00;172;310;3;2;103;25;0;9;27;8
Montréal,v (p)                     ;040.00;173;322;1;2;108;15;0;6;25;7
Montréal,v (p)                     ;040.00;174;134;0;0;0;0;0;0;0;0
Montréal,v (p)                     ;040.00;175;540;5;0;181;41;0;13;73;28
Montréal,v (p)                     ;040.00;176;302;7;1;76;28;3;0;30;15
Montréal,v (p)                     ;040.00;177;316;13;0;58;45;1;2;38;20
Montréal,v (p)                     ;040.00;178;303;7;0;44;24;2;5;26;31
Montréal,v (p)                     ;040.00;179;352;6;1;101;37;0;6;28;22
TOTAL DU SECTEUR                   ;      ;    ;2974;42;6;851;223;6;43;271;137
Montréal,v (p)                     ;023.00;180;58;0;0;0;0;0;0;0;0
TOTAL DU SECTEUR                   ;      ;    ;58;0;0;0;0;0;0;0;0
